Marca de temps,Localitat,Data,Categoria,"En cas d'altres, quina?","Nom de l'activitat ","Companyia, artista",Lloc,Llengua de l'activitat,Preu,Regidoria organitzadora,Llengua de la publicitat,Font,Persona que ha introduït les dades,,,Estructura dades,Observacions estructura dades
06/02/2023 10:46:51,Gandia,01/10/2022,Exposició,,El ducat de Gandia en temps de Francesc de Borja,,Palau Ducal dels Borja de Gandia,No hi ha informació,,Cultura,Valencià/català,https://cultura.gandia.org/esdeveniments/el-ducat-de-gandia-en-temps-de-francesc-de-borja/,Hermi,,,,
06/02/2023 10:45:14,Gandia,01/10/2022,Exposició,,El país que va fascinar a Jean Dieuzaide,Jean Dieuzaide,Sala Tossal,Activitat sense llengua,,Cultura,Valencià/català,https://cultura.gandia.org/esdeveniments/el-pais-que-v-fascinar-a-jean-dieuzaide/,Hermi,,,,
06/02/2023 10:43:36,Gandia,01/10/2022,Exposició,,The Last Hope,Rosana Nácher i Borja Abargues,Casa de la Marquesa,Activitat sense llengua,,Cultura,Valencià/català,https://cultura.gandia.org/esdeveniments/the-last-hope/,Hermi,,,,
06/02/2023 13:10:41,Llíria,01/10/2022,Música,,"Espectacle ""Punto y seguimos""",Grup Vocal Siete,Teatre Unió Musical,Espanyol,,Cultura,Valencià/català,https://www.lliria.es/sites/www.lliria.es/files/AGENDA_octubre.pdf,Marina,,,,
08/02/2023 10:27:57,Nàquera,01/10/2022,Altres,Espectacle,Espectáculo visual ''un gran show'',Clavarios el niño Jesús,,No hi ha informació,,En col·laboració o organitzat per una entitat ciutadana,Espanyol,https://www.facebook.com/ajuntamentnaquera/?locale=ca_ES,Blanca,,,,
04/04/2023 9:21:31,Picanya,01/10/2022,Música,,Concert guanyadors i concurs internacional de clarinets ''Honorable Vila de Picanya'',Orquesta Filarmonica de Valencia,Centre cultural,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/ajuntament.picanya/?locale=ca_ES,Blanca,,,,
10/02/2023 12:20:55,Puçol,01/10/2022,Cinema,,TADEO JONES 3,,CASA DE CULTURA,Espanyol,"3€, 4€",Cultura,Espanyol,https://casacultura.net/event/tadeo-jones-la-tabla-esmeralda/2022-10-01/,Joan,,,,
10/02/2023 12:40:07,Quart de Poblet,01/10/2022,Exposició,,Obertura d'exposició artística,,Casa Joventut l'Amagatall,Activitat sense llengua,,Cultura,Bilingüe,https://www.facebook.com/quartdepoblet/?locale=es_ES,Marina,,,,
13/02/2023 11:10:41,Requena,01/10/2022,Exposició,,TOM CARR. De la gravedad a la luz,Tom Carr,Museo Florención de la Fuente,Activitat sense llengua,,Cultura,Espanyol,https://www.requena.es/evento/tom-carr,Marina,,,,
28/04/2023 11:09:40,Sagunt,01/10/2022,Activitats sobre patrimoni,,Actividades sobre memória histórica,,Casal Jove Port,Espanyol,,En col·laboració o organitzat per una entitat ciutadana,Espanyol,https://www.facebook.com/photo/?fbid=138439742235786&set=pcb.138439855569108,Hermi,,,,
27/04/2023 18:40:32,Sagunt,01/10/2022,Exposició,,Pedalejant la tardor,NATALIA TEJEDOR,CENTRE CÍVIC ANTIC SANATORI,Activitat sense llengua,,Cultura,Valencià/català,https://aytosagunto.es/media/jyrnwzjj/agenda-tardor-2022.pdf,Hermi,,,,
27/04/2023 18:49:15,Sagunt,01/10/2022,Exposició,,Vida i obra,JOAN FUSTER,CENTRE CULTURAL MARIO MONREAL HALL,Activitat sense llengua,,Cultura,Valencià/català,https://aytosagunto.es/media/jyrnwzjj/agenda-tardor-2022.pdf,Hermi,,,,
13/02/2023 12:17:23,Sant Antoni de Benaixeve,01/10/2022,Dansa,,Ball i exhibicions dels grups de ball de majors,,Recinte del Mercat,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Bilingüe,https://www.sanantoniodebenageber.es/va/noticia-evento/sant-antoni-de-benaixeve-commemorara-el-dia-internacional-de-les-persones-dedat,Hermi,,,,
14/02/2023 9:26:21,Silla,01/10/2022,Altres,Màgia,LA MÀQUINA DE RUBE GOLDBERG,Nacho Diago,Sala Carmen Valero,Valencià/català,,Cultura,Valencià/català,https://www.facebook.com/people/Cultura-Silla/100064473113288/,Hermi,,,,
13/02/2023 13:30:45,Torrent,01/10/2022,Taller literari,,"BICHOS QUE VAN POR EL AIRE: MARIPOSAS, PÁJAROS Y MURCIÉLAGOS",EL OMBLIGO Y LA PELUSA,Plaça Unió Musical de Torrent,Espanyol,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:32:40,Torrent,01/10/2022,Presentació llibre,,CIUTAT INTERIOR,ABEL DÁVILA,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:34:51,Torrent,01/10/2022,Contacontes,,DONES PROTAGONSITES,EVA ANDÚJAR,Plaça Unió Musical de Torrent,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:27:29,Torrent,01/10/2022,Presentació llibre,,MUERDEALMAS,SANTIAGO ÁLVAREZ,PLAÇA UNIÓ MUSICAL,Espanyol,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:29:11,Torrent,01/10/2022,Taller literari,,PEQUELLIBRE,Rebombori,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:36:05,Torrent,01/10/2022,Lectura poemes,,UN LLAMP EN LA NIT,MERCÈ CLARAMUNT I RAMON GUILLEM,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:31:38,Torrent,01/10/2022,Presentació llibre,,VERSOS RETROBATS,MARI CARMEN SÁEZ,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:33:47,Torrent,01/10/2022,Presentació llibre,,VESPRES D'INVENTARI,JOSEP MICÓ,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
14/02/2023 10:41:33,Utiel,01/10/2022,Música,,XIX campaña de conciertos de intercambios,MASA CORAL UTIELANA,IGLESIA ESCUELAS PÍAS,Espanyol,,Cultura,Espanyol,https://www.facebook.com/AytodeUtiel/posts/pfbid02Kn9GfEepaNSNoEctqggMdWpT7KVid889g6fhZju82b96iXuWENrmJ1PDvLtGY59Ll,Joan,,,,
16/02/2023 13:13:15,València,01/10/2022,Monòlegs,,Amar no és tan fàcil,Rafa Alarcón,Esplanada entre els números 63 i 64 del passeig de l'Albereda,Espanyol,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:11:05,València,01/10/2022,Música,,Concert de swing-jazz,Cowards Music Quartet,Parc del carrer d'Albalat dels Tarongers,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:15:23,València,01/10/2022,Música,,Concert Jazzmatiks,Jazzmatiks,Plaça de l''Església (Sant Marcel·lí),Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:17:08,València,01/10/2022,Música,,El tutor burlat,Les arts volant,Plaça de l'Església dels Àngels (El cabanyal-canyamelar),Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:05:57,València,01/10/2022,Lectura en veu alta,,Lectura teatral dramatitzada: El verí del teatre de Rodolf Sirera,Camps de Vid(a). Vicent Camps i David Vidal,parc de l'Ermita de Vera,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:08:24,València,01/10/2022,Altres,Magia i humor,Milagro,Kekoperfil,Plaça del Mestre Vicent Ballester Fandós,Espanyol,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:03:42,València,01/10/2022,Contacontes,,Súper,El gran Jordiet - Josemi Skykes,Parc del carrer d'Oltà,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 13:02:05,València,01/10/2022,Teatre,,Teatre de titelles: la rateta,Cia. La Matallina,Esplanada del Parc d'Aiora,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5740822732635678/,Blanca,,,,
16/02/2023 9:42:15,València,01/10/2022,Música,,D’ars gallica et valentiani: César Frank i Francisco Coll,Raúl Arias i Hilario Segovia,L'Almodí,Activitat sense llengua,10€,Cultura,Bilingüe,https://www.palauvalencia.com/wp-content/uploads/2021/12/CAMBRA-22.pdf,Hermi,,,,
17/02/2023 9:05:59,València,01/10/2022,Activitats sobre patrimoni,,"Vsites guiades: 1902-2022, 120 anys d'informació i cultura",Hemeroteca Municipal i Biblioteca Històrica,Palau de Cervelló,Valencià/català,,Cultura,Valencià/català,https://www.facebook.com/bibliotequesmunicipalsvlc/,Hermi,,,,
15/02/2023 10:33:31,Xàtiva,01/10/2022,Taller de teatre,,CCX Taller de Veu,Teatre la Lluna ,,Valencià/català,,Altres,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
15/02/2023 10:25:54,Xàtiva,01/10/2022,Exposició,,El cabo de gata,Xavier Company i José Manuel García,Casa de la Cultura,Activitat sense llengua,,Cultura,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
15/02/2023 10:23:32,Xàtiva,01/10/2022,Exposició,,El collar de la coloma,J.R. Blesa,Casa de la Cultura,Activitat sense llengua,,Cultura,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
15/02/2023 10:32:03,Xàtiva,01/10/2022,Activitats sobre patrimoni,,La lluna i la coloma,,Ciutat de Xàtiva,Valencià/català,,Altres,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
15/02/2023 10:24:35,Xàtiva,01/10/2022,Exposició,,Vicent Andrés Estellés cronista de records i esperances,,Casa de la Cultura,Valencià/català,,Cultura,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
15/02/2023 10:38:06,Xàtiva,01/10/2022,Dansa,,XIX Campanya de Concerts d'Intercanvis 2022,Grup de Danses Morro Falquí i Grup de Danses Socarrel,Plaça de la Seu-Sant Domènec,Activitat sense llengua,,Altres,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
15/02/2023 10:35:21,Xàtiva,01/10/2022,Música,,XXIII Festival Coral Ciutat de Xàtiva,Cor Ciutat de Xàtiva i Grup polifònic ARS nova de Xàbia,Església de Sant Pere,No hi ha informació,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
17/02/2023 9:27:50,Alcàsser,02/10/2022,Música,,València és música,CORAL POLIFÓNICA D' ALCÀSSER,LLAR DE JUBILATS,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/photo.php?fbid=469851535180945&set=pb.100064683067519.-2207520000.&type=3,Joan,,,,
17/02/2023 9:26:02,Alcàsser,02/10/2022,Música,,XIX Campanya de concerts d'intercanvis 2022,Colla Guirigall d'Alcàsser,Centre Cultural d' Alcàsser,No hi ha informació,,Cultura,Valencià/català,https://www.facebook.com/photo.php?fbid=469824091850356&set=pb.100064683067519.-2207520000.&type=3,Joan,,,,
08/02/2023 11:08:43,Almussafes,02/10/2022,Cinema,,"""Tadeo Jones 3"" i ""Alcarràs""",,Centre Cultural,Espanyol,3€-2€,Cultura,Valencià/català,https://www.instagram.com/ajuntamentalmussafes/?hl=es,Marina,,,,
07/02/2023 13:53:37,Bétera,02/10/2022,Altres,Espectacle,Frágil,Maria Andrés,Passeig de l'Alameda,Espanyol,,Cultura,Bilingüe,https://www.facebook.com/aytodebetera,Hermi,,,,
08/02/2023 13:33:09,Burjassot,02/10/2022,Altres,Circ,Isla,Circ D'Clic,Parc de la Granja,No hi ha informació,,Cultura,Valencià/català,https://www.burjassot.org/va/burjassot-retoma-sus-actividades-de-artes-escenicas-gratuitas-con-la-puesta-en-escena-de-isla/,Hermi,,,,
07/02/2023 9:07:18,Carcaixent,02/10/2022,Música,,XIX Campanya de Concerts d'Intercanvis Culturals 2022,Canyes i Baquetes,Plaça del Convent,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.carcaixent.es/va/evento/xix-campanya-concerts-dintercanvis-culturals-2022,Joan,,,,
08/02/2023 9:10:29,Cheste,02/10/2022,Dansa,,Dansà popular,GRUPO DANZAS CHESTE,PLAÇA DOCTOR CAJAL,Activitat sense llengua,,Altres,Espanyol,https://www.cheste.es/evento/dansa-popular,Joan,,,,
08/02/2023 10:02:31,"Eliana, l´",02/10/2022,Cinema,,Asignatura pendiente,,Centro Sociocultural - Sala Pep Torrent,Espanyol,,Cultura,Valencià/català,https://www.leliana.es/va/evento/asignatura-pendiente,Joan,,,,
06/02/2023 13:12:08,Llíria,02/10/2022,Música,,"Concert ""Terra de música""",Banda Juvenil Primitiva de Llíria,Teatre Banda Primitiva,Activitat sense llengua,,Altres,Valencià/català,https://www.lliria.es/sites/www.lliria.es/files/AGENDA_octubre.pdf,Marina,,,,
06/02/2023 13:15:39,Llíria,02/10/2022,Teatre,,"Representació de l'obra teatral ""Burundanga""",Gabriel Olivares,Teatre Unió Musical,Espanyol,5€,Cultura,Valencià/català,https://www.lliria.es/sites/www.lliria.es/files/AGENDA_octubre.pdf,Marina,,,,
09/02/2023 12:19:37,Manises,02/10/2022,Teatre,,La Caputxeta Vermella,"La Inestable, Cía de Títeres",Plaça de Rafael Atard,Valencià/català,,Cultura,Bilingüe,https://www.manises.es/va/cultura/evento/caputxeta-vermella,Hermi,,,,
08/02/2023 10:29:48,Nàquera,02/10/2022,Altres,correfoc,Correfoc ''els dimonis de Massalfasar'',Els dimonis de Massalfasar,Desde Nàquera Hils hasta la plaza del Ayuntamiento,Activitat sense llengua,,Cultura,Espanyol,https://www.facebook.com/ajuntamentnaquera/?locale=ca_ES,Blanca,,,,
09/02/2023 13:45:22,"Olleria, l'",02/10/2022,Música,,Música fusió,Dolç tab jazz project,Sala Santoja,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/ajuntamentlolleria/?locale=ca_ES,Blanca,,,,
08/02/2023 13:22:33,Paiporta,02/10/2022,Música,,Valencirc - 'Save the temazo',COL·LECTIU FRENÈTIC,PL. TRES D'ABRIL,Valencià/català,,Cultura,Valencià/català,https://paiporta.es/valencirc-save-the-temazo,Joan,,,,
04/04/2023 9:22:39,Picanya,02/10/2022,Dansa,,Intercanvi folflore,Grup de danses Xafarnat de Paterna i grup de danses Realenc de Picanya,Centre cultural,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/ajuntament.picanya/?locale=ca_ES,Blanca,,,,
09/02/2023 11:20:01,Picassent,02/10/2022,Cinema,,TADEO JONES 3,,CASA DE CULTURA,Espanyol,,Cultura,Valencià/català,https://www.facebook.com/ajuntamentdepicassent/?locale=es_ES,Joan,,,,
10/02/2023 12:22:29,Puçol,02/10/2022,Música,,Nànets Band Rock,Rosanna Mira,CASA DE CULTURA,Valencià/català,2€,Cultura,Valencià/català,https://casacultura.net/event/nanets-band-rock/,Joan,,,,
13/02/2023 13:41:31,Sueca,02/10/2022,Música,,XIX Campanya de Concerts d'intercanvis,Societat Unió Musical de Sueca,Casal multiusos de sueca,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/ajuntament.sueca/?locale=ca_ES,Blanca,,,,
13/02/2023 13:38:08,Torrent,02/10/2022,Presentació llibre,,EL VALIOSO SECRETO QUEESCONDE TU SONRISA,VERÓNICA ROMERO,Plaça Unió Musical de Torrent,Espanyol,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:37:13,Torrent,02/10/2022,Contacontes,,LA VOLTA AL MON EN CINC CONTES,Carles Cano,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
13/02/2023 13:38:59,Torrent,02/10/2022,Teatre,,TROBA LA TEUA SAVIESA,CUCURUCÚ TEATRE,Plaça Unió Musical de Torrent,Valencià/català,,Cultura,Valencià/català,https://torrent.es/feria-del-libro/,Joan,,,,
16/02/2023 13:29:42,València,02/10/2022,Monòlegs,,Amb poquet m'aconforme,Óscar Tramoyeres,Parc del carrer d'Albalat dels Tarongers,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:23:09,València,02/10/2022,Contacontes,,Amb ulls de dona,Núria Urioz,Parc de l'Ermita de Vera,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:27:40,València,02/10/2022,Lectura en veu alta,,Comedias y a lo loco (lectura dramatitzada),Monolo2,Plaça de l'Església dels Àngels,Espanyol,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:20:01,València,02/10/2022,Música,,Concert de banda,Agrupación musical Santa Cecilia del Grao,Plaça del Mestre Vicent Ballester Fandós,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:21:51,València,02/10/2022,Contacontes,,Contes desbaratats,Lorena Comín,Parc del carrer d'Oltà,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:35:14,València,02/10/2022,Música,,El tutor burlat,Les Arts Volant,Plaça del mestre Vicent Ballester Fandós,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:25:08,València,02/10/2022,Dansa,,Identidades (Dansa contemporània amb col·loqui),CocinandoDansa,Esplanada entre els números 63 i 64 del passeig de l'Albereda,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:34:05,València,02/10/2022,Monòlegs,,Liándola parda,Piter Pardo,Esplanada del Parc d'Aiora,Espanyol,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
16/02/2023 13:32:55,València,02/10/2022,Teatre,,Quatre peces d'humor (teatre d'humor),Fil per Randa Teatre,Plaça de l'Església,Valencià/català,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.facebook.com/CulturaalsbarrisipoblesdeValencia/photos/5743436299040988,Blanca,,,,
15/02/2023 10:39:37,Xàtiva,02/10/2022,Activitats sobre patrimoni,,La nostra ruta àrab,,Ciutat de Xàtiva,Valencià/català,,Altres,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
17/02/2023 10:19:35,Foios,03/10/2022,Exposició,,SOCIS/ES DEL CERCLE I PINTORS/ES DE FOIOS,,SALA D'EXPOSICIONS MUNICIPAL FERNANDO BARRACHINA,Activitat sense llengua,,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://www.foios.es/sites/www.foios.es/files/docs/cultura/9-oct/Programa_setmana_cultural_9-Oct22_rev2.pdf,Joan,,,,
06/02/2023 13:16:44,Llíria,03/10/2022,Contacontes,,Bebecontes,Contes Kummerlin,Agència de Lectura,Valencià/català,,Altres,Valencià/català,https://www.lliria.es/sites/www.lliria.es/files/AGENDA_octubre.pdf,Marina,,,,
08/02/2023 10:31:43,Nàquera,03/10/2022,Monòlegs,,Monólogo y espectáculo musical,Organizan los Clavarios de Sant Francesc 2022,,No hi ha informació,,Cultura,Espanyol,https://www.facebook.com/ajuntamentnaquera/?locale=ca_ES,Blanca,,,,
10/02/2023 13:46:48,Rafelbunyol,03/10/2022,Contacontes,,Pluja de cançons,,Biblioteca Pública Municipal,Valencià/català,,Cultura,Valencià/català,https://www.rafelbunyol.es/va/evento/pluja-cancons-presentacio-contacontes-taller-manualitats,Marina,,,,
28/04/2023 11:05:08,Sagunt,03/10/2022,Cinema,,Cortos-documentales Primeras Jornadas de Memoria Histórica y Democrática,Asociación Cultural Nautilus,Casa de la Cultura,Valencià/català,,Cultura,Espanyol,https://www.facebook.com/asociacion.cultural.nautilus.puerto.sagunto/,Hermi,,,,
13/02/2023 13:25:56,Sedaví,03/10/2022,Exposició,,Valencianes per la igualtat,"Artistes falleres, María José i Pilar Luna",Poliesportiu,Activitat sense llengua,,Cultura,Bilingüe,https://www.facebook.com/ajuntamentsedavi/,Hermi,,,,
17/02/2023 9:09:08,València,03/10/2022,Altres,Taller de fotografia,Excursió fotogràfica:  Càmara els carrers de València,Meritxel Ahicart,Biblioteca de Beniferri - Joan de Timonea,No hi ha informació,,Cultura,Bilingüe,https://www.facebook.com/bibliotequesmunicipalsvlc/,Hermi,,,,
17/02/2023 9:23:19,València,03/10/2022,Exposició,,Heroínas de la modernidad: las mujeres soñadas por Julio Verne,Emilio García,Biblioteca de Marxalenes - Joanot Martorell,Activitat sense llengua,,Cultura,Valencià/català,https://www.facebook.com/bibliotequesmunicipalsvlc/,Hermi,,,,
15/02/2023 10:41:36,Xàtiva,03/10/2022,Música,,Projecte d'infància en edat escolar,,Casa de la Cultura,Activitat sense llengua,5€,En col·laboració o organitzat per una entitat ciutadana,Valencià/català,https://blog.xativa.es/2022/10/06/28655/,Marina,,,,
06/02/2023 10:46:02,Albal,04/10/2022,Exposició,,Exposició no em toques el whatsapp,IVAJ,Casal jove Albal,Valencià/català,,Cultura,Valencià/català,https://www.instagram.com/ajuntamentalbal/?hl=es,Blanca,,,,
08/02/2023 12:33:10,Aldaia,04/10/2022,Presentació llibre,,"Presentació del còmic ALDAIA: FETS, HISTÒRIES I VINYETES",,Teatre Auditori,Valencià/català,,Cultura,Valencià/català,https://www.aldaia.es/portada,Marina,,,,
07/02/2023 12:56:41,Alzira,04/10/2022,Exposició,,"40 ANIVERSARI DE LA PANTANADA: L’EMPREMTA DE L’AIGUA; A PANTANADA DE TOUS: AIGUA, POR, FANG I DOLOR","Joan Andreu Gascó i Salvador Mañó; Pep Pelechà, Ramón Salavert i Enric Yusà",Museu Municipal d'Alzira,Valencià/català,,Cultura,Valencià/català,https://www.facebook.com/AjuntAlzira?locale=ca_ES,Marina,,,,
