MUNICIPI,PROVÍNCIA,COMARCA,N HABITANTS,ÌNDEX ENVELLIMENT POBLACIÓ (2021),POBLACIÓ TURÍSTICA,PARTIT GOVERNANT EN 2022-23,PARTIT GOVERNANT 2023-24,"Subvenció normalització
 de l'us del valencià 
per part de la Generalitat (2022)",LLENGUA PREDOMINANT,Regidoria Cultura 2022,Regidoria Cultura 2023
"Vila Joiosa, la",Alacant,La Marina Baixa,34684,"122,40",,PSOE,PP,"35.090,88€",Valencià,PSOE,PP
Oliva,València,Safor,25119,"139,70",,COMPROMÍS,PROJECTE OLIVA,"25.055,53€",Valencià,COMPROMÍS,PROJECTE OLIVA
Alginet,València,Ribera Alta,13942,"105,10",,PSd'A,PP,"20.173,46€",Valencià,PSd'A,PSd'A
Alaquàs,València,Horta Sud,29649,"125,90",,PSOE,PSOE,"21.258,36€",Valencià,PSOE,PSOE
Alcoi,Alacant,L'Alcoià,59128,"147,90",,PSOE,PSOE,"27.767,78€",Valencià,PSOE,PSOE
"Alcora, l'",Castelló,Alcalatén,10428,"125,30",,PSOE,PSOE,,Valencià,PSOE,PSOE
"Alcúdia, l'",València,Ribera Alta,12193,"106,30",,PSOE,PSOE,"19.902,24€",Valencià,PSOE,PSOE
"Alfàs del Pi, l'",Alacant,La Marina Baixa,20495,"201,70",,PSOE,PSOE,,Valencià,PSOE,PSOE
Almussafes,València,Ribera Baixa,8984,"102,00",,PSOE,PSOE,,Valencià,PSOE,PSOE
Benetússer,València,Horta Sud,15430,"129,50",,PSOE,PSOE,,Valencià,PSOE,PSOE
Benifaió,València,Ribera Alta,11967,"144,50",,PSOE,PSOE,,Valencià,PSOE,PSOE
Burjassot,València,Horta Nord,38712,"118,40",,PSOE,PSOE,"37.260,69€",Valencià,PSOE,PSOE
Calp,Alacant,La Marina Alta,23530,"173,50",Sí,PP,SOM CALP,,Valencià,PP,PSOE
Cullera,València,Ribera Baixa,22708,"161,40",Sí,PSOE,PSOE,,Valencià,PSOE,PSOE
Dénia,Alacant,La Marina Alta,42953,"134,30",Sí,PSOE,PSOE,"38.888,04€",Valencià,PSOE,PSOE
Dolores,Alacant,El Baix Segura,7620,"104,80",,PSOE,PSOE,,castellà,EUPV,PSOE
Elda,Alacant,El Vinalopó Mitjà,52551,"149,10",,PSOE,PSOE,,castellà,PSOE,PSOE
"Eliana, l´",València,Camp de Túria,18302,"125,40",,PSOE,PSOE,"6.446,97€",Valencià,PSOE,PSOE
Gandia,València,Safor,75970,"117,20",Sí,PSOE,PSOE,,Valencià,PSOE,PSOE
Guardamar del Segura,Alacant,El Baix Segura,15983,"166,40",,PSOE,PSOE,,Valencià,PSOE,PSOE
Novelda,Alacant,El Vinalopó Mitjà,25611,"124,00",,PSOE,PSOE,"28.581,46€",Valencià,PSOE,PSOE
Paterna,València,Horta Nord,71361,"73,20",,PSOE,PSOE,"3.568,86€",Valencià,PSOE,PSOE
Pego,Alacant,La Marina Alta,10240,"199,80",,PSOE,PSOE,,Valencià,PSOE,PSOE
Petrer,Alacant,El Vinalopó Mitjà,34009,"104,20",,PSOE,PSOE,"22.072,04€",Valencià,PSOE,PSOE
Picassent,València,Horta Sud,21487,"98,70",,PSOE,PSOE,"23.699,39€",Valencià,PSOE,PSOE
"Puig de Santa Maria, el",València,Horta Nord,8737,"137,80",,PSOE,COMPROMÍS,"21.550,61€",Valencià,PSOE,PSOE
Quart de Poblet,València,Horta Sud,25035,"155,60",,PSOE,PSOE,"25.597,98€",Valencià,PSOE,PSOE
Riba-roja del Túria,València,Camp de Túria,22799,"77,30",,PSOE,PSOE,,Valencià,PSOE,PSOE
Rojales,Alacant,El Baix Segura,15978,"367,90",,PSOE,PSOE,,castellà,PSOE,PSOE
Sax,Alacant,L'Alt Vinalopó,9935,"117,80",,PP,PSOE,,castellà,PP,PSOE
Silla,València,Horta Sud,19211,"116,40",,PSOE,PSOE,"30.751,27€",Valencià,PSOE,PSOE
Sueca,València,Ribera Baixa,27617,"141,50",,PSOE,PSOE,"34.819,66€",Valencià,PSOE,PSOE
Torís,València,Ribera Alta,6910,"118,40",,PSOE,PSOE,,Valencià,PSOE,PSOE
Vila-real,Castelló,Plana Baixa,51130,"97,60",,PSOE,PSOE,"40.244,17€",Valencià,PSOE,PSOE
Villena,Alacant,L'Alt Vinalopó,34025,"116,20",,PSOE,PSOE,,castellà,PSOE,PSOE
Vinaròs,Castelló,Baix Maestrat,28862,"126,30",,PSOE,PSOE,"35.633,33€",Valencià,PSOE,PSOE
Xixona,Alacant,L'Alacantí,6861,"159,70",,PSOE,PSOE,,Valencià,PSOE,PSOE
Massamagrell,València,Horta Nord,16132,"107,30",,PSOE,PP,"28.581,46€",Valencià,PSOE,VOX
Orihuela,Alacant,El Baix Segura,78940,"158,80",,PSOE,PP,,castellà,EUPV,VOX
Xirivella,València,Horta Sud,30208,"117,30",,PSOE,PP,"28.039,01€",Valencià,PSOE,VOX
Albal,València,Horta Sud,16646,"74,90",,PSOE,PSOE,"15.020,18€",Valencià,COMPROMÍS,
Alfafar,València,Horta Sud,21415,"121,40",,PP,,"18.274,89€",Valencià,PP,
Benaguasil,València,Camp de Túria,11369,"125,10",,PP,,"1.864,43€",Valencià,PP,
Canals,València,Costera,13257,"134,50",,COMPROMÍS,,,Valencià,COMPROMÍS,
Catarroja,València,Horta Sud,28509,"87,50",,COMPROMÍS,,"35.904,56€",Valencià,COMPROMÍS,
Cheste,València,Foia de Bunyol,8871,"123,80",,PSOE,,,castellà,EUPV,
Foios,València,Horta Nord,7502,"105,40",,COMPROMÍS,,"3.462,50€",Valencià,PSOE,
Ibi,Alacant,L'Alcoià,23652,"130,80",,PP,PSOE,,Valencià,PP,
Mislata,València,Horta Sud,44320,"130,80",,PSOE,,"26.954,10€",Valencià,PSOE,
Monforte del Cid,Alacant,El Vinalopó Mitjà,8500,"77,50",,EUPV,,,castellà,COMPROMÍS,
Monòver,Alacant,El Vinalopó Mitjà,12188,"147,70",,PSOE,,,Valencià,PSOE,
Montcada,València,Horta Nord,21875,"130,20",,PSOE,,"24.513,07€",Valencià,PSOE,
Montserrat,València,Ribera Alta,8655,"70,80",,PSOE,,"26.140,43€",Valencià,PSOE,
Muro d'Alcoi,Alacant,El Comtat,9326,"103,60",,PP,COMPROMÍS,"24.513,07€",Valencià,EL PI,
Orpesa,Castelló,Plana Alta,9755,"113,90",Sí,CS,PP + VOX + CS,,Valencià,PSOE,
Paiporta,València,Horta Sud,26401,"83,60",,PSOE,,"21.800,82€",Valencià,PSOE,
Pinós,Alacant,El Vinalopó Mitjà,8142,"123,90",,PSOE,,,Valencià,PSOE,
"Pobla de Farnals, la",València,Horta Nord,8205,"111,30",,PSOE,,"6.333,04€",Valencià,PSOE,
Redován,Alacant,El Baix Segura,8058,"83,00",,PP,,,castellà,PP,
Requena,València,Plana d'Utiel-Requena,20235,"140,60",,PSOE,,,castellà,PSOE,
Sant Antoni de Benaixeve,València,Camp de Túria,9501,"49,30",,PSOE,,,Valencià,AGRUPACIÓ INDEPENDENT ,
Sedaví,València,Horta Sud,10344,"125,30",,PSOE,,"3.021,05€",Valencià,PSOE,
Utiel,València,Plana d'Utiel-Requena,11478,"177,00",,PSOE,,,castellà,PSOE,
València,València,València,789744,"153,80",Sí,COMPROMÍS,,"45.668,66€",Valencià,PSOE,
Vilamarxant,València,Camp de Túria,10097,"107,50",,CS,,,Valencià,PP,
